SOLUTION_MASTER_SPECIES
#element	master species	alkalinity	gfw|formula	gfw of element	source
	log_k	4.0832
	delta_h	-62.8562 kJ/mol 
	analytic	-1.8957e+001 1.3726e-002 1.4801e+004 -4.9732e+000 -1.6442e+006 
	# source	llnl.dat
Albite_low
	NaAlSi3O8 +4H+ = + Al+3 + Na+ + 2H2O + 3SiO2
	log_k	2.7645
	delta_h	-51.8523 kJ/mol 
	analytic	-1.2860e+001 1.4481e-002 1.3913e+004 -6.9417e+000 -1.6256e+006 
	# source	llnl.dat
Alstonite
	BaCa(CO3)2 +2H+ = + Ba+2 + Ca+2 + 2HCO3-
	log_k	2.5843
	delta_h	0 
	# source	llnl.dat
Alum-K
	KAl(SO4)2:12H2O = + Al+3 + K+ + 2SO4-2 + 12H2O
	log_k	-4.8818
	delta_h	14.4139 kJ/mol 
	analytic	-8.8025e+002 -2.5706e-001 2.2399e+004 3.5434e+002 3.4978e+002 
	# source	llnl.dat
Alunite
	KAl3(OH)6(SO4)2 +6H+ = + K+ + 2SO4-2 + 3Al+3 + 6H2O
	log_k	-0.3479
	delta_h	-231.856 kJ/mol 
	analytic	-6.8581e+002 -2.2455e-001 2.6886e+004 2.6758e+002 4.1973e+002 
	# source	llnl.dat
Am
	Am +3H+ +0.7500 O2 = + Am+3 + 1.5000 H2O
	log_k	169.39
	delta_h	-1036.36 kJ/mol 
	analytic	-6.7924e+000 -8.9873e-003 5.3327e+004 0.0000e+000 0.0000e+000 
	# source	llnl.dat
Am(OH)3
	Am(OH)3 +3H+ = + Am+3 + 3H2O
	log_k	15.2218
	delta_h	0 
	# source	llnl.dat
Am(OH)3(am)
	Am(OH)3 +3H+ = + Am+3 + 3H2O
	log_k	17.0217
	delta_h	0 
	# source	llnl.dat
Am2(CO3)3
	Am2(CO3)3 +3H+ = + 2Am+3 + 3HCO3-
	log_k	-2.3699
	delta_h	0 
	# source	llnl.dat
Am2C3
	Am2C3 +4.5000 O2 +3H+ = + 2Am+3 + 3HCO3-
	log_k	503.9594
	delta_h	-3097.6 kJ/mol 
	analytic	3.3907e+002 -4.2636e-003 1.4463e+005 -1.2891e+002 2.4559e+003 
	# source	llnl.dat
Am2O3
	Am2O3 +6H+ = + 2Am+3 + 3H2O
	log_k	51.7905
	delta_h	-400.515 kJ/mol 
	analytic	-9.2044e+001 -1.8883e-002 2.3028e+004 2.9192e+001 3.5935e+002 
	# source	llnl.dat
AmBr3
	AmBr3 = + Am+3 + 3Br-
	log_k	21.7826
	delta_h	-171.21 kJ/mol 
	analytic	1.0121e+001 -3.0622e-002 6.1964e+003 0.0000e+000 0.0000e+000 
	# source	llnl.dat
AmCl3
	AmCl3 = + Am+3 + 3Cl-
	log_k	14.3513
	delta_h	-140.139 kJ/mol 
	analytic	-1.5000e+001 -3.6701e-002 5.2281e+003 9.1942e+000 8.8785e+001 
	# source	llnl.dat
AmF3
	AmF3 = + Am+3 + 3F-
	log_k	-13.119
	delta_h	-34.7428 kJ/mol 
	analytic	-4.0514e+001 -3.7312e-002 4.1626e+002 1.4999e+001 7.0827e+000 
	# source	llnl.dat
AmF4
	AmF4 = + Am+4 + 4F-
	log_k	-25.1354
	delta_h	-37.3904 kJ/mol 
	analytic	-4.9592e+001 -4.5210e-002 -9.7251e+001 1.5457e+001 -1.6348e+000 
	# source	llnl.dat
AmH2
	AmH2 +2H+ +O2 = + Am+2 + 2H2O
	log_k	128.4208
	delta_h	-738.376 kJ/mol 
	analytic	3.1175e+001 -1.4062e-002 3.6259e+004 -8.1600e+000 5.6578e+002 
	# source	llnl.dat
AmI3
	AmI3 = + Am+3 + 3I-
	log_k	24.7301
	delta_h	-175.407 kJ/mol 
	analytic	-1.3886e+001 -3.6651e-002 7.2094e+003 1.0247e+001 1.2243e+002 
	# source	llnl.dat
AmO2
	AmO2 +4H+ = + Am+4 + 2H2O
	log_k	-9.4203
	delta_h	-45.4767 kJ/mol 
	analytic	-7.4658e+001 -1.1661e-002 4.2059e+003 2.2070e+001 6.5650e+001 
	# source	llnl.dat
AmOBr
	AmOBr +2H+ = + Am+3 + Br- + H2O
	log_k	13.7637
	delta_h	-131.042 kJ/mol 
	analytic	-4.4394e+001 -1.7071e-002 7.3438e+003 1.5605e+001 1.2472e+002 
	# source	llnl.dat
AmOCl
	AmOCl +2H+ = + Am+3 + Cl- + H2O
	log_k	11.3229
	delta_h	-119.818 kJ/mol 
	analytic	-1.2101e+002 -4.1027e-002 8.6801e+003 4.6651e+001 1.3548e+002 
	# source	llnl.dat
AmOHCO3
	AmOHCO3 +2H+ = + Am+3 + H2O + HCO3-
	log_k	3.1519
	delta_h	0 
	# source	llnl.dat
AmPO4(am)
	AmPO4 +H+ = + Am+3 + HPO4-2
	log_k	-12.4682
	delta_h	0 
	# source	llnl.dat
Amesite-14A
	Mg4Al4Si2O10(OH)8 +20H+ = + 2SiO2 + 4Al+3 + 4Mg+2 + 14H2O
	log_k	75.4571
	delta_h	-797.098 kJ/mol 
	analytic	-5.4326e+002 -1.4144e-001 5.4150e+004 1.9361e+002 8.4512e+002 
	# source	llnl.dat
Analcime
	Na.96Al.96Si2.04O6:H2O +3.8400 H+ = + 0.9600 Al+3 + 0.9600 Na+ + 2.0400 SiO2 + 2.9200 H2O
	log_k	6.1396
	delta_h	-75.844 kJ/mol 
	analytic	-6.8694e+000 6.6052e-003 9.8260e+003 -4.8540e+000 -8.8780e+005 
	# source	llnl.dat
Analcime-dehy
	Na.96Al.96Si2.04O6 +3.8400 H+ = + 0.9600 Al+3 + 0.9600 Na+ + 1.9200 H2O + 2.0400 SiO2
	log_k	12.5023
	delta_h	-116.641 kJ/mol 
	analytic	-7.1134e+000 5.6181e-003 1.2185e+004 -5.0295e+000 -9.3890e+005 
	# source	llnl.dat
Anatase
	TiO2 +2H2O = + Ti(OH)4
	log_k	-8.5586
	delta_h	0 
	# source	llnl.dat
Andalusite
	Al2SiO5 +6H+ = + SiO2 + 2Al+3 + 3H2O
	log_k	15.9445
	delta_h	-235.233 kJ/mol 
	analytic	-7.1115e+001 -3.2234e-002 1.2308e+004 2.2357e+001 1.9208e+002 
	# source	llnl.dat
Andradite
	Ca3Fe2(SiO4)3 +12H+ = + 2Fe+3 + 3Ca+2 + 3SiO2 + 6H2O
	log_k	33.3352
	delta_h	-301.173 kJ/mol 
	analytic	1.3884e+001 -2.3886e-002 1.5314e+004 -8.1606e+000 -4.2193e+005 
	# source	llnl.dat
Anglesite
	PbSO4 = + Pb+2 + SO4-2
	log_k	-7.8527
	delta_h	11.255 kJ/mol 
	analytic	-1.8583e+002 -7.3849e-002 2.8528e+003 7.6936e+001 4.4570e+001 
	# source	llnl.dat
Anhydrite
	CaSO4 = + Ca+2 + SO4-2
	log_k	-4.3064
	delta_h	-18.577 kJ/mol 
	analytic	-2.0986e+002 -7.8823e-002 5.0969e+003 8.5642e+001 7.9594e+001 
	# source	llnl.dat
Annite
	KFe3AlSi3O10(OH)2 +10H+ = + Al+3 + K+ + 3Fe+2 + 3SiO2 + 6H2O
	log_k	29.4693
	delta_h	-259.964 kJ/mol 
	analytic	-4.0186e+001 -1.4238e-002 1.8929e+004 7.9859e+000 -8.4343e+005 
	# source	llnl.dat
Anorthite
	CaAl2(SiO4)2 +8H+ = + Ca+2 + 2Al+3 + 2SiO2 + 4H2O
	log_k	26.578
	delta_h	-303.039 kJ/mol 
	analytic	3.9717e-001 -1.8751e-002 1.4897e+004 -6.3078e+000 -2.3885e+005 
	# source	llnl.dat
Antarcticite
	CaCl2:6H2O = + Ca+2 + 2Cl- + 6H2O
	log_k	4.0933
	delta_h	0 
	# source	llnl.dat
Anthophyllite
	Mg7Si8O22(OH)2 +14H+ = + 7Mg+2 + 8H2O + 8SiO2
	log_k	66.7965
	delta_h	-483.486 kJ/mol 
	analytic	-1.2865e+002 1.9705e-002 5.4853e+004 1.9444e+001 -3.8080e+006 
	# source	llnl.dat
Antigorite
	Mg48Si34O85(OH)62 +96H+ = + 34SiO2 + 48Mg+2 + 79H2O
	log_k	477.1943
	delta_h	-3364.43 kJ/mol 
	analytic	-8.1630e+002 -6.7780e-002 2.5998e+005 2.2029e+002 -9.3275e+006 
	# source	llnl.dat
Antlerite
	Cu3(SO4)(OH)4 +4H+ = + SO4-2 + 3Cu+2 + 4H2O
	log_k	8.7302
	delta_h	0 
	# source	llnl.dat
Aphthitalite
	NaK3(SO4)2 = + Na+ + 2SO4-2 + 3K+
	log_k	-3.8878
	delta_h	0 
	# source	llnl.dat
Aragonite
	CaCO3 +H+ = + Ca+2 + HCO3-
	log_k	1.9931
	delta_h	-25.8027 kJ/mol 
	analytic	-1.4934e+002 -4.8043e-002 4.9089e+003 6.0284e+001 7.6644e+001 
	# source	llnl.dat
Arcanite
	K2SO4 = + SO4-2 + 2K+
	log_k	-1.8008
	delta_h	23.836 kJ/mol 
	analytic	-1.6428e+002 -6.7762e-002 1.9879e+003 7.1116e+001 3.1067e+001 
	# source	llnl.dat
Arsenolite
	As2O3 +3H2O = + 2H+ + 2H2AsO3-
	log_k	-19.8365
	delta_h	84.5449 kJ/mol 
	analytic	5.1917e+000 -1.9397e-002 -6.0894e+003 4.7458e-001 -1.0341e+002 
	# source	llnl.dat
Arsenopyrite
	FeAsS +1.5000 H2O +0.5000 H+ = + 0.5000 AsH3 + 0.5000 H2AsO3- + Fe+2 + HS-
	log_k	-14.4453
	delta_h	28.0187 kJ/mol 
	# source	llnl.dat
Artinite
	Mg2CO3(OH)2:3H2O +3H+ = + HCO3- + 2Mg+2 + 5H2O
	log_k	19.656
	delta_h	-130.432 kJ/mol 
	analytic	-2.8614e+002 -6.7344e-002 1.5230e+004 1.1104e+002 2.3773e+002 
	# source	llnl.dat
As
	As +1.5000 H2O +0.7500 O2 = + H+ + H2AsO3-
	log_k	42.7079
	delta_h	-276.937 kJ/mol 
	analytic	-3.4700e+001 -3.1772e-002 1.3788e+004 1.6411e+001 2.1517e+002 
	# source	llnl.dat
As2O5
	As2O5 +3H2O = + 2H+ + 2H2AsO4-
	log_k	2.1601
	delta_h	-36.7345 kJ/mol 
	analytic	-1.4215e+002 -6.3459e-002 4.1222e+003 6.0369e+001 6.4365e+001 
	# source	llnl.dat
As4O6(cubi)
	As4O6 +6H2O = + 4H+ + 4H2AsO3-
	log_k	-39.7636
	delta_h	169.792 kJ/mol 
	analytic	-2.6300e+002 -1.1822e-001 -4.9004e+003 1.1108e+002 -7.6389e+001 
	# source	llnl.dat
As4O6(mono)
	As4O6 +6H2O = + 4H+ + 4H2AsO3-
	log_k	-40.0375
	delta_h	165.452 kJ/mol 
	analytic	9.2518e+000 -3.8823e-002 -1.1985e+004 9.9966e-001 -2.0352e+002 
	# source	llnl.dat
Atacamite
	Cu4Cl2(OH)6 +6H+ = + 2Cl- + 4Cu+2 + 6H2O
	log_k	14.2836
	delta_h	-132.001 kJ/mol 
	analytic	-2.6623e+002 -4.8121e-002 1.5315e+004 9.8395e+001 2.6016e+002 
	# source	llnl.dat
Au
	Au +H+ +0.2500 O2 = + 0.5000 H2O + Au+
	log_k	-7.0864
	delta_h	59.189 kJ/mol 
	analytic	-7.6610e-001 -2.8520e-003 -3.0861e+003 1.9705e+000 -4.8156e+001 
	# source	llnl.dat
Autunite-H
	H2(UO2)2(PO4)2 = + 2HPO4-2 + 2UO2+2
	log_k	-25.3372
	delta_h	-31.8599 kJ/mol 
	analytic	-3.2179e+001 -3.8038e-002 -6.8629e+002 8.2724e+000 -1.1644e+001 
	# source	llnl.dat
Azurite
	Cu3(CO3)2(OH)2 +4H+ = + 2H2O + 2HCO3- + 3Cu+2
	log_k	9.1607
	delta_h	-122.298 kJ/mol 
	analytic	-4.4042e+002 -1.1934e-001 1.8053e+004 1.7158e+002 2.8182e+002 
	# source	llnl.dat
B
	B +1.5000 H2O +0.7500 O2 = + B(OH)3
	log_k	109.5654
	delta_h	-636.677 kJ/mol 
	analytic	8.0471e+001 1.2577e-003 2.9653e+004 -2.8593e+001 4.6268e+002 
	# source	llnl.dat
B2O3
	B2O3 +3H2O = + 2B(OH)3
	log_k	5.5464
	delta_h	-18.0548 kJ/mol 
	analytic	9.0905e+001 5.5365e-003 -2.6629e+003 -3.1553e+001 -4.1578e+001 
	# source	llnl.dat
Ba
	Ba +2H+ +0.5000 O2 = + Ba+2 + H2O
	log_k	141.2465
	delta_h	-817.416 kJ/mol 
	analytic	-2.5033e+001 -1.3917e-002 4.2849e+004 1.0786e+001 6.6863e+002 
	# source	llnl.dat
Ba(OH)2:8H2O
	Ba(OH)2:8H2O +2H+ = + Ba+2 + 10H2O
	log_k	24.4911
	delta_h	-55.4363 kJ/mol 
	analytic	-2.3888e+002 -1.5791e-003 1.4097e+004 8.7518e+001 2.3947e+002 
	# source	llnl.dat
Ba2Si3O8
	Ba2Si3O8 +4H+ = + 2Ba+2 + 2H2O + 3SiO2
	log_k	23.3284
	delta_h	-95.3325 kJ/mol 
	analytic	-8.7226e+001 9.3125e-003 2.3147e+004 2.2012e+001 -2.1714e+006 
	# source	llnl.dat
Ba2SiO4
	Ba2SiO4 +4H+ = + SiO2 + 2Ba+2 + 2H2O
	log_k	44.593
	delta_h	-237.206 kJ/mol 
	analytic	-7.0350e+000 -5.1744e-003 1.4786e+004 3.1091e+000 -3.6972e+005 
	# source	llnl.dat
Ba2U2O7
	Ba2U2O7 +6H+ = + 2Ba+2 + 2UO2+ + 3H2O
	log_k	36.4635
	delta_h	-243.057 kJ/mol 
	analytic	-9.2562e+001 5.3866e-003 1.6852e+004 2.8647e+001 2.8621e+002 
	# source	llnl.dat
Ba3UO6
	Ba3UO6 +8H+ = + UO2+2 + 3Ba+2 + 4H2O
	log_k	94.3709
	delta_h	-564.885 kJ/mol 
	analytic	-1.3001e+002 -1.7395e-002 3.3977e+004 4.6715e+001 5.7703e+002 
	# source	llnl.dat
BaBr2
	BaBr2 = + Ba+2 + 2Br-
	log_k	5.6226
	delta_h	-23.3887 kJ/mol 
	analytic	-1.7689e+002 -7.1918e-002 4.7187e+003 7.6010e+001 7.3683e+001 
	# source	llnl.dat
BaBr2:2H2O
	BaBr2:2H2O = + Ba+2 + 2Br- + 2H2O
	log_k	2.2523
	delta_h	13.7736 kJ/mol 
	analytic	-1.5506e+001 -1.6281e-002 -8.5727e+002 1.0296e+001 -1.4552e+001 
	# source	llnl.dat
BaCl2
	BaCl2 = + Ba+2 + 2Cl-
	log_k	2.2707
	delta_h	-13.1563 kJ/mol 
	analytic	-2.0393e+002 -7.8925e-002 4.8846e+003 8.6204e+001 7.6280e+001 
	# source	llnl.dat
BaCl2:2H2O
	BaCl2:2H2O = + Ba+2 + 2Cl- + 2H2O
	log_k	0.2459
	delta_h	16.558 kJ/mol 
	analytic	-2.0350e+002 -7.3577e-002 3.7914e+003 8.6051e+001 5.9221e+001 
	# source	llnl.dat
BaCl2:H2O
	BaCl2:H2O = + Ba+2 + H2O + 2Cl-
	log_k	0.8606
	delta_h	2.89433 kJ/mol 
	analytic	-1.9572e+002 -7.3938e-002 4.0553e+003 8.2842e+001 6.3336e+001 
	# source	llnl.dat
BaCrO4
	BaCrO4 = + Ba+2 + CrO4-2
	log_k	-9.9322
	delta_h	25.9115 kJ/mol 
	analytic	2.3142e+001 -1.6617e-002 -3.6883e+003 -6.3687e+000 -6.2640e+001 
	# source	llnl.dat
BaHPO4
	BaHPO4 = + Ba+2 + HPO4-2
	log_k	-7.4
	delta_h	0 
	# source	llnl.dat
BaI2
	BaI2 = + Ba+2 + 2I-
	log_k	11.0759
	delta_h	-46.0408 kJ/mol 
	analytic	-1.7511e+002 -7.2206e-002 5.8696e+003 7.5974e+001 9.1641e+001 
	# source	llnl.dat
BaMnO4
	BaMnO4 = + Ba+2 + MnO4-2
	log_k	-10.09
	delta_h	0 
	# source	llnl.dat
BaO
	BaO +2H+ = + Ba+2 + H2O
	log_k	47.8036
	delta_h	-270.184 kJ/mol 
	analytic	-7.3273e+001 -1.7149e-002 1.6811e+004 2.8560e+001 -7.7510e+004 
	# source	llnl.dat
BaS
	BaS +H+ = + Ba+2 + HS-
	log_k	16.2606
	delta_h	-92.9004 kJ/mol 
	analytic	-1.1819e+002 -4.3420e-002 7.4296e+003 4.9489e+001 1.1597e+002 
	# source	llnl.dat
BaSeO3
	BaSeO3 = + Ba+2 + SeO3-2
	log_k	-6.5615
	delta_h	-5.5658 kJ/mol 
	analytic	2.9742e+001 -1.7073e-002 -2.4532e+003 -9.2936e+000 -4.1669e+001 
	# source	llnl.dat
BaSeO4
	BaSeO4 = + Ba+2 + SeO4-2
	log_k	-7.4468
	delta_h	8.9782 kJ/mol 
	analytic	2.4274e+001 -1.6289e-002 -2.8520e+003 -6.9949e+000 -4.8439e+001 
	# source	llnl.dat
BaSiF6
	BaSiF6 +2H2O = + Ba+2 + SiO2 + 4H+ + 6F-
	log_k	-32.1771
	delta_h	95.2555 kJ/mol 
	analytic	-6.4766e+000 -3.8410e-002 0.0000e+000 0.0000e+000 -1.2701e+006 
	# source	llnl.dat
BaU2O7
	BaU2O7 +6H+ = + Ba+2 + 2UO2+2 + 3H2O
	log_k	21.9576
	delta_h	-195.959 kJ/mol 
	analytic	-1.2254e+002 -1.0941e-002 1.4452e+004 4.0125e+001 2.4546e+002 
	# source	llnl.dat
BaUO4
	BaUO4 +4H+ = + Ba+2 + UO2+2 + 2H2O
	log_k	18.2007
	delta_h	-134.521 kJ/mol 
	analytic	-6.7113e+001 -1.6340e-002 8.7592e+003 2.4571e+001 1.3670e+002 
	# source	llnl.dat
BaZrO3
	BaZrO3 +4H+ = + Ba+2 + H2O + Zr(OH)2+2
	log_k	-94.4716
	delta_h	505.159 kJ/mol 
	analytic	-5.3606e+001 -1.0096e-002 -2.4894e+004 1.8446e+001 -4.2271e+002 
	# source	llnl.dat
Baddeleyite
	ZrO2 +2H+ = + Zr(OH)2+2
	log_k	-7.9405
	delta_h	9.72007 kJ/mol 
	analytic	-2.5188e-001 -4.6374e-003 -1.0635e+003 -1.1055e+000 -1.6595e+001 
	# source	llnl.dat
Barite
	BaSO4 = + Ba+2 + SO4-2
	log_k	-9.9711
	delta_h	25.9408 kJ/mol 
	analytic	-1.8747e+002 -7.5521e-002 2.0790e+003 7.7998e+001 3.2497e+001 
	# source	llnl.dat
Barytocalcite
	BaCa(CO3)2 +2H+ = + Ba+2 + Ca+2 + 2HCO3-
	log_k	2.742
	delta_h	0 
	# source	llnl.dat
Bassanite
	CaSO4:0.5H2O = + 0.5000 H2O + Ca+2 + SO4-2
	log_k	-3.6615
	delta_h	-18.711 kJ/mol 
	analytic	-2.2010e+002 -8.0230e-002 5.5092e+003 8.9651e+001 8.6031e+001 
	# source	llnl.dat
Bassetite
	Fe(UO2)2(PO4)2 +2H+ = + Fe+2 + 2HPO4-2 + 2UO2+2
	log_k	-17.724
	delta_h	-114.841 kJ/mol 
	analytic	-5.7788e+001 -4.5400e-002 4.0119e+003 1.6216e+001 6.8147e+001 
	# source	llnl.dat
Be
	Be +2H+ +0.5000 O2 = + Be+2 + H2O
	log_k	104.2077
	delta_h	-662.608 kJ/mol 
	analytic	-9.3960e+001 -2.4749e-002 3.6714e+004 3.3295e+001 5.7291e+002 
	# source	llnl.dat
Be13U
	Be13U +30H+ +7.5000 O2 = + U+4 + 13Be+2 + 15H2O
	log_k	1504.535
	delta_h	-9601.04 kJ/mol 
	analytic	-1.2388e+003 -3.2848e-001 5.2816e+005 4.3222e+002 8.2419e+003 
	# source	llnl.dat
Beidellite-Ca
	Ca.165Al2.33Si3.67O10(OH)2 +7.3200 H+ = + 0.1650 Ca+2 + 2.3300 Al+3 + 3.6700 SiO2 + 4.6600 H2O
	log_k	5.5914
	delta_h	-162.403 kJ/mol 
	analytic	2.3887e+001 4.4178e-003 1.5296e+004 -2.2343e+001 -1.4025e+006 
	# source	llnl.dat
Beidellite-Cs
	Cs.33Si3.67Al2.33O10(OH)2 +7.3200 H+ = + 0.3300 Cs+ + 2.3300 Al+3 + 3.6700 SiO2 + 4.6600 H2O
	log_k	5.1541
	delta_h	-149.851 kJ/mol 
	analytic	2.1244e+001 2.1705e-003 1.4504e+004 -2.0250e+001 -1.3712e+006 
	# source	llnl.dat
Beidellite-H
	H.33Al2.33Si3.67O10(OH)2 +6.9900 H+ = + 2.3300 Al+3 + 3.6700 SiO2 + 4.6600 H2O
	log_k	4.6335
	delta_h	-154.65 kJ/mol 
	analytic	5.4070e+000 3.4064e-003 1.6284e+004 -1.6028e+001 -1.5014e+006 
	# source	llnl.dat
Beidellite-K
	K.33Al2.33Si3.67O10(OH)2 +7.3200 H+ = + 0.3300 K+ + 2.3300 Al+3 + 3.6700 SiO2 + 4.6600 H2O
	log_k	5.3088
	delta_h	-150.834 kJ/mol 
	analytic	1.0792e+001 3.4419e-003 1.5760e+004 -1.7333e+001 -1.4779e+006 
	# source	llnl.dat
Beidellite-Mg
	Mg.165Al2.33Si3.67O10(OH)2 +7.3200 H+ = + 0.1650 Mg+2 + 2.3300 Al+3 + 3.6700 SiO2 + 4.6600 H2O
	log_k	5.5537
	delta_h	-165.455 kJ/mol 
	analytic	1.3375e+001 3.0420e-003 1.5947e+004 -1.8728e+001 -1.4242e+006 
	# source	llnl.dat
Beidellite-Na
	Na.33Al2.33Si3.67O10(OH)2 +7.3200 H+ = + 0.3300 Na+ + 2.3300 Al+3 + 3.6700 SiO2 + 4.6600 H2O
	log_k	5.6473
	delta_h	-155.846 kJ/mol 
	analytic	1.1504e+001 3.9871e-003 1.5818e+004 -1.7762e+001 -1.4485e+006 
	# source	llnl.dat
Berlinite
	AlPO4 +H+ = + Al+3 + HPO4-2
	log_k	-7.2087
	delta_h	-96.6313 kJ/mol 
	analytic	-2.8134e+002 -9.9933e-002 1.0308e+004 1.0883e+002 1.6094e+002 
	# source	llnl.dat
Berndtite
	SnS2 = + S2-2 + Sn+2
	log_k	-34.5393
	delta_h	0 
	analytic	-2.0311e+002 -7.6462e-002 -4.9879e+003 8.4082e+001 -7.7772e+001 
	# source	llnl.dat
Bieberite
	CoSO4:7H2O = + Co+2 + SO4-2 + 7H2O
	log_k	-2.5051
	delta_h	11.3885 kJ/mol 
	analytic	-2.6405e+002 -7.2497e-002 6.6673e+003 1.0538e+002 1.0411e+002 
	# source	llnl.dat
Birnessite
	Mn8O14:5H2O +4H+ = + 3MnO4-2 + 5Mn+2 + 7H2O
	log_k	-85.5463
	delta_h	0 
	# source	llnl.dat
Bischofite
	MgCl2:6H2O = + Mg+2 + 2Cl- + 6H2O
	log_k	4.3923
	delta_h	0 
	# source	llnl.dat
Bixbyite
	Mn2O3 +6H+ = + 2Mn+3 + 3H2O
	log_k	-0.9655
	delta_h	-190.545 kJ/mol 
	analytic	-1.1600e+002 -2.8056e-003 1.3418e+004 2.8639e+001 2.0941e+002 
	# source	llnl.dat
Bloedite
	Na2Mg(SO4)2:4H2O = + Mg+2 + 2Na+ + 2SO4-2 + 4H2O
	log_k	-2.4777
	delta_h	0 
	# source	llnl.dat
Boehmite
	AlO2H +3H+ = + Al+3 + 2H2O
	log_k	7.5642
	delta_h	-113.282 kJ/mol 
	analytic	-1.2196e+002 -3.1138e-002 8.8643e+003 4.4075e+001 1.3835e+002 
	# source	llnl.dat
Boltwoodite
	K(H3O)(UO2)SiO4 +3H+ = + K+ + SiO2 + UO2+2 + 3H2O
	log_k	14.8857
	delta_h	0 
	# source	llnl.dat
Boltwoodite-Na
	Na.7K.3(H3O)(UO2)SiO4:H2O +3H+ = + 0.3000 K+ + 0.7000 Na+ + SiO2 + UO2+2 + 4H2O
	log_k	14.5834
	delta_h	0 
	# source	llnl.dat
Borax
	Na2(B4O5(OH)4):8H2O +2H+ = + 2Na+ + 4B(OH)3 + 5H2O
	log_k	12.0395
	delta_h	80.5145 kJ/mol 
	analytic	7.8374e+001 1.9328e-002 -5.3279e+003 -2.1914e+001 -8.3160e+001 
	# source	llnl.dat
Boric_acid
	B(OH)3 = + B(OH)3
	log_k	-0.1583
	delta_h	20.2651 kJ/mol 
	analytic	3.9122e+001 6.4058e-003 -2.2525e+003 -1.3592e+001 -3.5160e+001 
	# source	llnl.dat
Bornite
	Cu5FeS4 +4H+ = + Cu+2 + Fe+2 + 4Cu+ + 4HS-
	log_k	-102.4369
	delta_h	530.113 kJ/mol 
	analytic	-7.0495e+002 -2.0082e-001 -9.1376e+003 2.8004e+002 -1.4238e+002 
	# source	llnl.dat
Brezinaite
	Cr3S4 +4H+ = + Cr+2 + 2Cr+3 + 4HS-
	log_k	2.7883
	delta_h	-216.731 kJ/mol 
	analytic	-7.0528e+001 -3.6568e-002 1.0598e+004 1.9665e+001 1.8000e+002 
	# source	llnl.dat
Brochantite
	Cu4(SO4)(OH)6 +6H+ = + SO4-2 + 4Cu+2 + 6H2O
	log_k	15.4363
	delta_h	-163.158 kJ/mol 
	analytic	-2.3609e+002 -3.9046e-002 1.5970e+004 8.4701e+001 2.7127e+002 
	# source	llnl.dat
Bromellite
	BeO +2H+ = + Be+2 + H2O
	log_k	1.1309
	delta_h	-59.2743 kJ/mol 
	analytic	1.4790e+002 -4.6004e-001 -3.2577e+004 4.0273e+001 -5.0837e+002 
	# source	llnl.dat
Brucite
	Mg(OH)2 +2H+ = + Mg+2 + 2H2O
	log_k	16.298
	delta_h	-111.34 kJ/mol 
	analytic	-1.0280e+002 -1.9759e-002 9.0180e+003 3.8282e+001 1.4075e+002 
	# source	llnl.dat
Brushite
	CaHPO4:2H2O = + Ca+2 + HPO4-2 + 2H2O
	log_k	6.55
	delta_h	0 
	# source	llnl.dat
Bunsenite
	NiO +2H+ = + H2O + Ni+2
	log_k	12.4719
	delta_h	-100.069 kJ/mol 
	analytic	-8.1664e+001 -1.9796e-002 7.4064e+003 3.0385e+001 1.1559e+002 
	# source	llnl.dat
Burkeite
	Na6CO3(SO4)2 +H+ = + HCO3- + 2SO4-2 + 6Na+
	log_k	9.4866
	delta_h	0 
	# source	llnl.dat
C
	C +H2O +O2 = + H+ + HCO3-
	log_k	64.1735
	delta_h	-391.961 kJ/mol 
	analytic	-3.5556e+001 -3.3691e-002 1.9774e+004 1.7548e+001 3.0856e+002 
	# source	llnl.dat
Ca
	Ca +2H+ +0.5000 O2 = + Ca+2 + H2O
	log_k	139.8465
	delta_h	-822.855 kJ/mol 
	analytic	-1.1328e+002 -2.6554e-002 4.7638e+004 4.1989e+001 -2.3545e+005 
	# source	llnl.dat
Ca-Al_Pyroxene
	CaAl2SiO6 +8H+ = + Ca+2 + SiO2 + 2Al+3 + 4H2O
	log_k	35.9759
	delta_h	-361.548 kJ/mol 
	analytic	-1.4664e+002 -5.0409e-002 2.1045e+004 5.1318e+001 3.2843e+002 
	# source	llnl.dat
Ca2Al2O5:8H2O
	Ca2Al2O5:8H2O +10H+ = + 2Al+3 + 2Ca+2 + 13H2O
	log_k	59.5687
	delta_h	0 
	# source	llnl.dat
Ca2Cl2(OH)2:H2O
	Ca2Cl2(OH)2:H2O +2H+ = + 2Ca+2 + 2Cl- + 3H2O
	log_k	26.2901
	delta_h	0 
	# source	llnl.dat
Ca2V2O7
	Ca2V2O7 +H2O = + 2Ca+2 + 2H+ + 2VO4-3
	log_k	-39.7129
	delta_h	0 
	# source	llnl.dat
Ca3(AsO4)2
	Ca3(AsO4)2 +4H+ = + 2H2AsO4- + 3Ca+2
	log_k	17.816
	delta_h	-149.956 kJ/mol 
	analytic	-1.4011e+002 -4.2945e-002 1.0981e+004 5.4107e+001 1.8652e+002 
	# source	llnl.dat
Ca3Al2O6
	Ca3Al2O6 +12H+ = + 2Al+3 + 3Ca+2 + 6H2O
	log_k	113.046
	delta_h	-833.336 kJ/mol 
	analytic	-2.7163e+002 -5.2897e-002 5.0815e+004 9.2946e+001 8.6300e+002 
	# source	llnl.dat
Ca3V2O8
